region;Skattesats till landsting 2000;Skattesats till landsting 2001;Skattesats till landsting 2002;Skattesats till landsting 2003;Skattesats till landsting 2004;Skattesats till landsting 2005;Skattesats till landsting 2006;Skattesats till landsting 2007;Skattesats till landsting 2008;Skattesats till landsting 2009;Skattesats till landsting 2010;Skattesats till landsting 2011;Skattesats till landsting 2012;Skattesats till landsting 2013;Skattesats till landsting 2014;Skattesats till landsting 2015;Skattesats till landsting 2016;Skattesats till landsting 2017;Skattesats till landsting 2018
2182 Söderhamn;10,35;10,35;10,35;10,35;10,35;10,35;10,67;10,67;10,67;10,87;11,17;11,17;11,43;11,51;11,51;11,51;11,51;11,51;11,51
2183 Bollnäs;10,35;10,35;10,35;10,35;10,35;10,35;10,67;10,67;10,67;10,87;11,17;11,17;11,43;11,51;11,51;11,51;11,51;11,51;11,51
2184 Hudiksvall;10,35;10,35;10,35;10,35;10,35;10,35;10,67;10,67;10,67;10,87;11,17;11,17;11,43;11,51;11,51;11,51;11,51;11,51;11,51
2260 Ånge;10;10;10;10;10,6;10,6;10,6;10,6;10,6;10,6;10,99;10,99;10,99;10,99;10,69;10,69;11,29;11,29;11,29
2262 Timrå;10;10;10;10;10,6;10,6;10,6;10,6;10,6;10,6;10,99;10,99;10,99;10,99;10,69;10,69;11,29;11,29;11,29
2280 Härnösand;10;10;10;10;10,6;10,6;10,6;10,6;10,6;10,6;10,99;10,99;10,99;10,99;10,69;10,69;11,29;11,29;11,29
2281 Sundsvall;10;10;10;10;10,6;10,6;10,6;10,6;10,6;10,6;10,99;10,99;10,99;10,99;10,69;10,69;11,29;11,29;11,29
2282 Kramfors;10;10;10;10;10,6;10,6;10,6;10,6;10,6;10,6;10,99;10,99;10,99;10,99;10,69;10,69;11,29;11,29;11,29
2283 Sollefteå;10;10;10;10;10,6;10,6;10,6;10,6;10,6;10,6;10,99;10,99;10,99;10,99;10,69;10,69;11,29;11,29;11,29
2284 Örnsköldsvik;10;10;10;10;10,6;10,6;10,6;10,6;10,6;10,6;10,99;10,99;10,99;10,99;10,69;10,69;11,29;11,29;11,29
2303 Ragunda;9,55;9,55;9,55;10,15;10,15;10,15;10,15;10,15;10,15;10,6;10,6;10,6;10,6;10,85;10,85;11,2;11,2;11,2;11,2
2305 Bräcke;9,55;9,55;9,55;10,15;10,15;10,15;10,15;10,15;10,15;10,6;10,6;10,6;10,6;10,85;10,85;11,2;11,2;11,2;11,2
2309 Krokom;9,55;9,55;9,55;10,15;10,15;10,15;10,15;10,15;10,15;10,6;10,6;10,6;10,6;10,85;10,85;11,2;11,2;11,2;11,2
2313 Strömsund;9,55;9,55;9,55;10,15;10,15;10,15;10,15;10,15;10,15;10,6;10,6;10,6;10,6;10,85;10,85;11,2;11,2;11,2;11,2
2321 Åre;9,55;9,55;9,55;10,15;10,15;10,15;10,15;10,15;10,15;10,6;10,6;10,6;10,6;10,85;10,85;11,2;11,2;11,2;11,2
2326 Berg;9,55;9,55;9,55;10,15;10,15;10,15;10,15;10,15;10,15;10,6;10,6;10,6;10,6;10,85;10,85;11,2;11,2;11,2;11,2
2361 Härjedalen;9,55;9,55;9,55;10,15;10,15;10,15;10,15;10,15;10,15;10,6;10,6;10,6;10,6;10,85;10,85;11,2;11,2;11,2;11,2
2380 Östersund;9,55;9,55;9,55;10,15;10,15;10,15;10,15;10,15;10,15;10,6;10,6;10,6;10,6;10,85;10,85;11,2;11,2;11,2;11,2
