region,Skattesats till kommun 2000,Skattesats till kommun 2001,Skattesats till kommun 2002,Skattesats till kommun 2003,Skattesats till kommun 2004,Skattesats till kommun 2005,Skattesats till kommun 2006,Skattesats till kommun 2007,Skattesats till kommun 2008,Skattesats till kommun 2009,Skattesats till kommun 2010,Skattesats till kommun 2011,Skattesats till kommun 2012,Skattesats till kommun 2013,Skattesats till kommun 2014,Skattesats till kommun 2015,Skattesats till kommun 2016,Skattesats till kommun 2017,Skattesats till kommun 2018
2085 Ludvika,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.54,22.54,22.54,22.54,22.54,22.07
1783 Hagfors,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2281 Sundsvall,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.59,22.59,22.59,22.59,22.59
2506 Arjeplog,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,23.28,23.5,23.5,23.5,23.5,23.5,23.5
1760 Storfors,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2560 Älvsbyn,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.45,22.45,22.45,22.45,22.45,22.45
2082 Säter,21.56,21.56,22.21,22.56,22.56,22.56,22.56,22.56,22.56,22.56,22.56,22.56,22.56,22.79,22.79,22.79,22.79,22.79,22.32
1492 Åmål,22.19,22.19,22.19,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.89,22.46,22.46,22.46,22.46,22.46,22.46,22.46
1907 Surahammar,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.31,22.31,22.31,22.31,22.31,22.31,22.31
1981 Sala,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.31,22.31,22.31,22.31,22.31,22.31,22.31
2021 Vansbro,22.16,22.16,22.16,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.77,22.77,22.77,22.77,22.77,22.3
2061 Smedjebacken,22.16,22.16,22.16,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.93,22.93,22.93,22.93,22.93,22.46
2081 Borlänge,22.16,22.16,22.16,22.66,22.66,22.66,22.66,22.66,22.66,22.66,22.66,22.66,22.66,22.89,22.89,22.89,22.89,22.89,22.42
2026 Gagnef,22.21,22.21,22.15,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.72,22.72,22.72,22.72,23.01,22.54
1485 Uddevalla,22.14,22.14,22.14,22.14,22.44,22.44,22.44,22.29,22.19,22.09,22.09,22.09,21.66,21.66,21.91,22.16,22.16,22.16,22.16
1487 Vänersborg,22.14,22.14,22.14,22.14,22.14,22.64,22.64,22.64,22.64,22.64,22.64,22.64,22.21,22.21,22.21,22.21,22.21,22.21,22.21
